ticker,code,name,lot_size,stock_type,stock_child_type,listing_date,last_trade_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,amplitude,turnover_rate,market_val,pe_ratio,pb_ratio,update_time,retrieved_at_utc
FRVO,US.FRVO,Fervo Energy,1,STOCK,N/A,2026-05-13,,16.31,16.35,16.665,15.9817,16.44,1416858.0,23143201.058,4.156,2.024,,-65.502,1.72,2026-09-23 14:03:11,2026-09-24T02:03:56+08:00
GCTS.WS,US.GCTS.WS,GCT SEMICONDUCTOR HOLDING INC C/WTS 01/03/2029(TO PUR COM),1,WARRANT,N/A,1970-01-01,,0.305,0.325,0.326,0.3,0.3,17391.0,5531.485,8.667,0.0,,nan,nan,2026-09-23 11:26:20,2026-09-24T02:03:56+08:00
GEV,US.GEV,GE Vernova,1,STOCK,N/A,2024-03-27,,944.59,949.98,954.77,934.75,950.28,1137406.0,1074284598.292,2.107,0.428,,53.396,21.039,2026-09-23 14:03:44,2026-09-24T02:03:56+08:00
GLD,US.GLD,黄金ETF-SPDR,1,ETF,N/A,1970-01-01,,393.38,395.39,395.5,391.8701,400.07,5033051.0,1979202696.614,0.907,1.36,,nan,nan,2026-09-23 14:03:56,2026-09-24T02:03:56+08:00
GLW,US.GLW,康宁,1,STOCK,N/A,1970-01-01,,154.9086,160.15,160.53,153.6261,159.69,3560344.0,552547929.285,4.323,0.453,,84.649,10.624,2026-09-23 14:03:46,2026-09-24T02:03:56+08:00
GRID,US.GRID,First Trust Nasdaq Clean Edge Smart GRID Infrastructure Index,1,ETF,N/A,1970-01-01,,180.06,181.3,181.82,179.07,182.86,435902.0,78559616.228,1.504,0.653,,nan,nan,2026-09-23 14:02:56,2026-09-24T02:03:56+08:00
HLTH,US.HLTH,Tema Healthcare AI ETF,1,ETF,N/A,2026-07-21,,28.78,29.675,29.6518,28.78,29.8167,2918.0,84868.117,2.924,0.941,,nan,nan,2026-09-23 13:52:01,2026-09-24T02:03:56+08:00
HTEC,US.HTEC,EXCHANGE TRADED CONCEPTS TRUST ROBO GLBL HEALTHCARE TECH & INNOVTIN ETF,1,ETF,N/A,1970-01-01,,43.21,43.7,43.855,43.152,43.6417,56205.0,2441769.213,1.611,3.306,,nan,nan,2026-09-23 14:02:55,2026-09-24T02:03:56+08:00
IBB,US.IBB,生物科技指数ETF-iShares,1,ETF,N/A,1970-01-01,,206.19,211.23,211.83,205.78,210.81,1293308.0,269730656.27,2.87,2.541,,nan,nan,2026-09-23 14:03:48,2026-09-24T02:03:56+08:00
IGV,US.IGV,扩展科技软件行业ETF-iShares,1,ETF,N/A,1970-01-01,,107.97,107.07,108.325,106.49,106.75,4874480.0,524943670.131,1.719,3.771,,nan,nan,2026-09-23 14:03:54,2026-09-24T02:03:56+08:00
